CHEMBL227529|ALOGLIPTIN BENZOATE
CHEMBL2364612|LATANOPROSTENE BUNOD
CHEMBL1200854|FLUPHENAZINE DECANOATE
CHEMBL501867|VINCRISTINE SULFATE
CHEMBL3301603|GILTERITINIB FUMARATE
CHEMBL1354199|METHSCOPOLAMINE BROMIDE
CHEMBL1201773|PRASUGREL HYDROCHLORIDE
CHEMBL1763|HYDROFLUMETHIAZIDE
CHEMBL1200728|GUANIDINE HYDROCHLORIDE
CHEMBL3187365|ASENAPINE
CHEMBL968|FLURAZEPAM
CHEMBL3989556|REMOXIPRIDE HYDROCHLORIDE
CHEMBL282052|METHAQUALONE
CHEMBL1410|NONOXYNOL 9
CHEMBL1433|DOXYCYCLINE ANHYDROUS
CHEMBL1764|LEVOMEPROMAZINE
CHEMBL1319139|BROMHEXINE HYDROCHLORIDE
CHEMBL831|LOXAPINE
CHEMBL565|CLOFIBRATE
CHEMBL1201232|ISOPROPAMIDE
CHEMBL1382|TOLTERODINE
CHEMBL1201060|LOXAPINE HYDROCHLORIDE
CHEMBL289469|GRANISETRON
CHEMBL1201536|NICOTINE POLACRILEX
CHEMBL1096146|PONESIMOD
CHEMBL751|BROMFENAC SODIUM
CHEMBL1497|BETAMETHASONE VALERATE
CHEMBL537669|YOHIMBINE HYDROCHLORIDE
CHEMBL1963681|AVANAFIL
CHEMBL2109624|CAPLACIZUMAB
CHEMBL1200463|OXAPROZIN POTASSIUM
CHEMBL3707328|GALCANEZUMAB
CHEMBL1480987|CYCLANDELATE
CHEMBL2108035|INCOBOTULINUMTOXINA
CHEMBL436|TOLRESTAT
CHEMBL189|MILRINONE
CHEMBL3989920|PITAVASTATIN SODIUM
CHEMBL1201577|CETUXIMAB
CHEMBL1769|PROPOXYCAINE HYDROCHLORIDE
CHEMBL1201002|CARTEOLOL HYDROCHLORIDE
CHEMBL1493|FLAVOXATE
CHEMBL1234|DEFEROXAMINE MESYLATE
CHEMBL3989923|PITAVASTATIN MAGNESIUM
CHEMBL494|ILOPROST
CHEMBL2108290|EPOETIN THETA
CHEMBL713|ENTECAVIR
CHEMBL3833329|ERENUMAB
CHEMBL1909324|PINAVERIUM
CHEMBL3137343|PEMBROLIZUMAB
CHEMBL1201151|MESTRANOL
CHEMBL24171|BERGAPTEN
CHEMBL373742|VASOPRESSIN
CHEMBL1201731|NEBIVOLOL HYDROCHLORIDE
CHEMBL1201174|SITAGLIPTIN PHOSPHATE
CHEMBL4594395|POTASSIUM OXYBATE
CHEMBL4298185|LONAPEGSOMATROPIN
CHEMBL1201743|SAXAGLIPTIN HYDROCHLORIDE
CHEMBL3545110|RIBOCICLIB
CHEMBL1200531|ALFENTANIL HYDROCHLORIDE
CHEMBL754|FOSCARNET SODIUM
CHEMBL1201837|ECALLANTIDE
CHEMBL182|GANCICLOVIR
CHEMBL3833373|AVELUMAB
CHEMBL408513|BELINOSTAT
CHEMBL608|PROBUCOL
CHEMBL1004|DOXYLAMINE
CHEMBL1200386|PREDNICARBATE
CHEMBL3182733|PRAMIPEXOLE DIHYDROCHLORIDE
CHEMBL3189072|TIROFIBAN HYDROCHLORIDE
CHEMBL471737|IVABRADINE
CHEMBL1201463|CODEINE POLISTIREX
CHEMBL1200412|NANDROLONE PHENPROPIONATE
CHEMBL261772|MECLOCYCLINE SULFOSALICYLATE
CHEMBL1474889|CLOBUTINOL
CHEMBL1162|NORETHINDRONE
CHEMBL1357648|AMODIAQUINE HYDROCHLORIDE
CHEMBL719|MUPIROCIN
CHEMBL139|DICLOFENAC
CHEMBL41286|DIACEREIN
CHEMBL1465|PHENPROCOUMON
CHEMBL1471|APREPITANT
CHEMBL1123|DICYCLOMINE
CHEMBL1200984|AMLODIPINE MALEATE
CHEMBL1201834|CANAKINUMAB
CHEMBL2111290|TESAMORELIN ACETATE
CHEMBL2106829|METHAQUALONE HYDROCHLORIDE
CHEMBL2040682|CICLESONIDE
CHEMBL225072|PEMETREXED
CHEMBL4298124|DOSTARLIMAB
CHEMBL551466|ACLIDINIUM BROMIDE
CHEMBL4594394|MAGNESIUM OXYBATE
CHEMBL2105233|PROXIBARBAL
CHEMBL3989694|OLANZAPINE PAMOATE
CHEMBL1136|TELITHROMYCIN
CHEMBL465|DRONABINOL
CHEMBL1201470|HYDROCODONE POLISTIREX
CHEMBL1071|OXAPROZIN
CHEMBL2021430|DEXAMETHASONE SODIUM PHOSPHATE
CHEMBL1201546|INSULIN ZINC SUSP PURIFIED BEEF
CHEMBL1201541|INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF
CHEMBL167150|TRICHLORFON
CHEMBL3305985|ALCURONIUM
CHEMBL43452|POMALIDOMIDE
CHEMBL1200538|BETAMETHASONE ACETATE
CHEMBL215645|RIVASTIGMINE TARTRATE
CHEMBL3545189|LANADELUMAB
CHEMBL29411|THYMOL
