CHEMBL1200950|CLIDINIUM BROMIDE
CHEMBL1200843|METHYLERGONOVINE MALEATE
CHEMBL4535757|SOTORASIB
CHEMBL1069|VALSARTAN
CHEMBL189|MILRINONE
CHEMBL8|CIPROFLOXACIN
CHEMBL1533310|HISTAMINE DIHYDROCHLORIDE
CHEMBL108545|METHYL SALICYLATE
CHEMBL2146140|ESOMEPRAZOLE STRONTIUM
CHEMBL312448|XYLOMETAZOLINE
CHEMBL24441|BETAHISTINE
CHEMBL1201132|NALBUPHINE HYDROCHLORIDE
CHEMBL2095222|OCRIPLASMIN
CHEMBL130|CHLORAMPHENICOL
CHEMBL71|CHLORPROMAZINE
CHEMBL1200467|HYDROXYZINE PAMOATE
CHEMBL1201421|PEGAPTANIB SODIUM
CHEMBL917|FLOXURIDINE
CHEMBL249856|ENOXIMONE
CHEMBL2110725|VINFLUNINE
CHEMBL1743048|OBINUTUZUMAB
CHEMBL1389|LEVONORGESTREL
CHEMBL4297534|GLASDEGIB MALEATE
CHEMBL1201057|CILASTATIN SODIUM
CHEMBL1201729|DRONEDARONE HYDROCHLORIDE
CHEMBL1201119|LIOTHYRONINE SODIUM
CHEMBL1201109|DESONIDE
CHEMBL1735|INDINAVIR SULFATE
CHEMBL85|RISPERIDONE
CHEMBL24944|TRIBROMSALAN
CHEMBL1133|OXYBUTYNIN CHLORIDE
CHEMBL1200819|ARTICAINE HYDROCHLORIDE
CHEMBL938|SARALASIN
CHEMBL1201834|CANAKINUMAB
CHEMBL1134|DECAMETHONIUM BROMIDE
CHEMBL1364551|MINAPRINE HYDROCHLORIDE
CHEMBL207538|BREXANOLONE
CHEMBL771|CYCLOSERINE
CHEMBL3936761|ZANUBRUTINIB
CHEMBL1479|DANAZOL
CHEMBL923|RISEDRONIC ACID
CHEMBL191|LOSARTAN
CHEMBL1619|CLADRIBINE
CHEMBL334966|CANGRELOR
CHEMBL1200970|ETHOPROPAZINE HYDROCHLORIDE
CHEMBL515606|CILAZAPRIL
CHEMBL185|FLUOROURACIL
CHEMBL1201179|LAPATINIB DITOSYLATE
CHEMBL3184799|MEPHENTERMINE SULFATE
CHEMBL3353410|OSIMERTINIB
CHEMBL2107815|TREPROSTINIL DIOLAMINE
CHEMBL1200798|TRAZODONE HYDROCHLORIDE
CHEMBL1200751|MERCAPTOPURINE
CHEMBL2106615|BAZEDOXIFENE ACETATE
CHEMBL4594395|POTASSIUM OXYBATE
CHEMBL4297756|FREMANEZUMAB
CHEMBL444186|RAZOXANE
CHEMBL916|TIROFIBAN
CHEMBL1201232|ISOPROPAMIDE
CHEMBL395429|OXYTOCIN
CHEMBL34259|METHOTREXATE
CHEMBL2107869|INSULIN DEGLUDEC
CHEMBL969|PRAZEPAM
CHEMBL33864|LIPOIC ACID, ALPHA
CHEMBL427216|GLICLAZIDE
